n_communities,pref_attachment,network,threshold_idx,threshold_value,median_final_adoption,internal_variance_adoption,ratio
45.0,0.55,etngrp_lft_oplniv,2,0.21666666666666667,5917.5,11684386.35,0.06990681106920812
45.0,0.55,etngrp_lft_oplniv,3,0.3,382.85,221398.0275,0.06990681106920812
45.0,0.55,etngrp_oplniv,0,0.05,8593.0,0.0,0.2076092668114412
45.0,0.55,etngrp_oplniv,1,0.13333333333333333,8593.0,0.0,0.2076092668114412
45.0,0.55,etngrp_oplniv,2,0.21666666666666667,4075.55,4149956.7474999996,0.2076092668114412
45.0,0.55,etngrp_oplniv,3,0.3,258.4,40155.04,0.2076092668114412
45.0,0.55,geslacht,0,0.05,8595.0,0.0,0.5047082730751882
45.0,0.55,geslacht,1,0.13333333333333333,8595.0,0.0,0.5047082730751882
45.0,0.55,geslacht,2,0.21666666666666667,2015.05,1413577.0474999999,0.5047082730751882
45.0,0.55,geslacht,3,0.3,211.1,20947.29,0.5047082730751882
45.0,0.55,geslacht_lft,0,0.05,6754.25,8048185.6875,0.10241017079987165
45.0,0.55,geslacht_lft,1,0.13333333333333333,7151.55,5680357.2475000005,0.10241017079987165
45.0,0.55,geslacht_lft,2,0.21666666666666667,4584.65,12385205.427499998,0.10241017079987165
45.0,0.55,geslacht_lft,3,0.3,231.75,51453.0875,0.10241017079987165
45.0,0.55,geslacht_lft_oplniv,0,0.05,7948.0,0.0,0.09310987830567272
45.0,0.55,geslacht_lft_oplniv,1,0.13333333333333333,7153.65,5678927.3275,0.09310987830567272
45.0,0.55,geslacht_lft_oplniv,2,0.21666666666666667,5167.55,14288552.8475,0.09310987830567272
45.0,0.55,geslacht_lft_oplniv,3,0.3,194.0,34529.7,0.09310987830567272
45.0,0.55,geslacht_oplniv,0,0.05,8597.0,0.0,0.19038745018530834
45.0,0.55,geslacht_oplniv,1,0.13333333333333333,8597.0,0.0,0.19038745018530834
45.0,0.55,geslacht_oplniv,2,0.21666666666666667,4895.8,1307793.56,0.19038745018530834
45.0,0.55,geslacht_oplniv,3,0.3,275.15,45597.5275,0.19038745018530834
45.0,0.55,lft,0,0.05,7933.0,0.0,0.1923835254618758
45.0,0.55,lft,1,0.13333333333333333,7536.95,2980256.4475,0.1923835254618758
45.0,0.55,lft,2,0.21666666666666667,7045.5,190870.35,0.1923835254618758
45.0,0.55,lft,3,0.3,201.15,28103.127500000002,0.1923835254618758
45.0,0.55,lft_oplniv,0,0.05,7542.1,2993062.59,0.18090463945091073
45.0,0.55,lft_oplniv,1,0.13333333333333333,5955.15,11806989.2275,0.18090463945091073
45.0,0.55,lft_oplniv,2,0.21666666666666667,5059.95,13774546.647499999,0.18090463945091073
45.0,0.55,lft_oplniv,3,0.3,187.8,20676.46,0.18090463945091073
45.0,0.55,oplniv,0,0.05,8601.0,0.0,0.3783858877361693
45.0,0.55,oplniv,1,0.13333333333333333,8601.0,0.0,0.3783858877361693
45.0,0.55,oplniv,2,0.21666666666666667,3964.4,1312692.8399999999,0.3783858877361693
45.0,0.55,oplniv,3,0.3,241.2,18218.16,0.3783858877361693
45.0,0.44,etngrp,0,0.05,8592.0,0.0,0.45812543304486925
45.0,0.44,etngrp,1,0.13333333333333333,8163.25,3492704.6875,0.45812543304486925
45.0,0.44,etngrp,2,0.21666666666666667,1836.15,2237166.1275,0.45812543304486925
45.0,0.44,etngrp,3,0.3,144.9,18465.29,0.45812543304486925
45.0,0.44,etngrp_geslacht,0,0.05,8589.0,0.0,0.23144591647407312
45.0,0.44,etngrp_geslacht,1,0.13333333333333333,8159.75,3500855.6875,0.23144591647407312
45.0,0.44,etngrp_geslacht,2,0.21666666666666667,2615.7,2745259.11,0.23144591647407312
