n_communities,pref_attachment,strategy,network,threshold_idx,threshold_value,median_final_adoption
34.0,0.99,combined_score,geslacht,2,0.21666666666666667,86.0
34.0,0.99,combined_score,geslacht,3,0.3,86.0
34.0,0.99,combined_score,lft,0,0.05,7919.0
34.0,0.99,combined_score,lft,1,0.13333333333333333,7919.0
34.0,0.99,combined_score,lft,2,0.21666666666666667,86.0
34.0,0.99,combined_score,lft,3,0.3,86.0
34.0,0.99,internal_density,etngrp_geslacht_lft_oplniv,0,0.05,7935.0
34.0,0.99,internal_density,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,124.0
34.0,0.99,internal_density,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,97.0
34.0,0.99,internal_density,etngrp_geslacht_lft_oplniv,3,0.3,92.0
34.0,0.99,internal_density,geslacht,0,0.05,8601.0
34.0,0.99,internal_density,geslacht,1,0.13333333333333333,89.0
34.0,0.99,internal_density,geslacht,2,0.21666666666666667,86.0
34.0,0.99,internal_density,geslacht,3,0.3,86.0
34.0,0.99,internal_density,lft,0,0.05,7919.0
34.0,0.99,internal_density,lft,1,0.13333333333333333,7919.0
34.0,0.99,internal_density,lft,2,0.21666666666666667,86.0
34.0,0.99,internal_density,lft,3,0.3,86.0
34.0,0.99,external_exposure_ratio,etngrp_geslacht_lft_oplniv,0,0.05,7934.5
34.0,0.99,external_exposure_ratio,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,127.5
34.0,0.99,external_exposure_ratio,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,98.0
34.0,0.99,external_exposure_ratio,etngrp_geslacht_lft_oplniv,3,0.3,92.0
34.0,0.99,external_exposure_ratio,geslacht,0,0.05,8601.0
34.0,0.99,external_exposure_ratio,geslacht,1,0.13333333333333333,89.0
34.0,0.99,external_exposure_ratio,geslacht,2,0.21666666666666667,86.0
34.0,0.99,external_exposure_ratio,geslacht,3,0.3,86.0
34.0,0.99,external_exposure_ratio,lft,0,0.05,7922.0
34.0,0.99,external_exposure_ratio,lft,1,0.13333333333333333,196.5
34.0,0.99,external_exposure_ratio,lft,2,0.21666666666666667,174.5
34.0,0.99,external_exposure_ratio,lft,3,0.3,137.5
34.0,0.99,random,etngrp_geslacht_lft_oplniv,0,0.05,7935.5
34.0,0.99,random,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,130.0
34.0,0.99,random,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,97.0
34.0,0.99,random,etngrp_geslacht_lft_oplniv,3,0.3,92.0
34.0,0.99,random,geslacht,0,0.05,8601.0
34.0,0.99,random,geslacht,1,0.13333333333333333,87.5
34.0,0.99,random,geslacht,2,0.21666666666666667,86.0
34.0,0.99,random,geslacht,3,0.3,86.0
34.0,0.99,random,lft,0,0.05,7927.0
34.0,0.99,random,lft,1,0.13333333333333333,100.0
34.0,0.99,random,lft,2,0.21666666666666667,106.0
34.0,0.99,random,lft,3,0.3,102.0
34.0,0.99,size,etngrp_geslacht_lft_oplniv,0,0.05,7928.0
34.0,0.99,size,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,7928.0
34.0,0.99,size,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,87.0
34.0,0.99,size,etngrp_geslacht_lft_oplniv,3,0.3,86.0
34.0,0.99,size,geslacht,0,0.05,8601.0
34.0,0.99,size,geslacht,1,0.13333333333333333,87.0
34.0,0.99,size,geslacht,2,0.21666666666666667,86.0
34.0,0.99,size,geslacht,3,0.3,86.0
34.0,0.99,size,lft,0,0.05,7919.0
34.0,0.99,size,lft,1,0.13333333333333333,7919.0
34.0,0.99,size,lft,2,0.21666666666666667,86.0
34.0,0.99,size,lft,3,0.3,86.0
23.0,0.22,combined_score,etngrp_geslacht_lft_oplniv,0,0.05,7963.5
23.0,0.22,combined_score,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,125.0
23.0,0.22,combined_score,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,91.5
23.0,0.22,combined_score,etngrp_geslacht_lft_oplniv,3,0.3,90.0
23.0,0.22,combined_score,geslacht,0,0.05,8601.0
23.0,0.22,combined_score,geslacht,1,0.13333333333333333,136.0
23.0,0.22,combined_score,geslacht,2,0.21666666666666667,93.0
23.0,0.22,combined_score,geslacht,3,0.3,88.0
23.0,0.22,combined_score,lft,0,0.05,8005.0
23.0,0.22,combined_score,lft,1,0.13333333333333333,8005.0
23.0,0.22,combined_score,lft,2,0.21666666666666667,87.0
23.0,0.22,combined_score,lft,3,0.3,86.0
23.0,0.22,internal_density,etngrp_geslacht_lft_oplniv,0,0.05,7963.0
23.0,0.22,internal_density,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,121.5
23.0,0.22,internal_density,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,92.0
23.0,0.22,internal_density,etngrp_geslacht_lft_oplniv,3,0.3,89.0
23.0,0.22,internal_density,geslacht,0,0.05,8601.0
23.0,0.22,internal_density,geslacht,1,0.13333333333333333,142.0
23.0,0.22,internal_density,geslacht,2,0.21666666666666667,94.0
23.0,0.22,internal_density,geslacht,3,0.3,88.0
23.0,0.22,internal_density,lft,0,0.05,8005.0
23.0,0.22,internal_density,lft,1,0.13333333333333333,8005.0
23.0,0.22,internal_density,lft,2,0.21666666666666667,87.5
23.0,0.22,internal_density,lft,3,0.3,86.0
23.0,0.22,external_exposure_ratio,etngrp_geslacht_lft_oplniv,0,0.05,7964.0
23.0,0.22,external_exposure_ratio,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,112.5
23.0,0.22,external_exposure_ratio,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,91.5
23.0,0.22,external_exposure_ratio,etngrp_geslacht_lft_oplniv,3,0.3,89.5
23.0,0.22,external_exposure_ratio,geslacht,0,0.05,8601.0
23.0,0.22,external_exposure_ratio,geslacht,1,0.13333333333333333,91.0
23.0,0.22,external_exposure_ratio,geslacht,2,0.21666666666666667,86.0
23.0,0.22,external_exposure_ratio,geslacht,3,0.3,86.0
23.0,0.22,external_exposure_ratio,lft,0,0.05,8009.0
23.0,0.22,external_exposure_ratio,lft,1,0.13333333333333333,212.0
23.0,0.22,external_exposure_ratio,lft,2,0.21666666666666667,126.5
23.0,0.22,external_exposure_ratio,lft,3,0.3,110.0
23.0,0.22,random,etngrp_geslacht_lft_oplniv,0,0.05,7963.0
23.0,0.22,random,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,131.5
