n_communities,pref_attachment,strategy,network,threshold_idx,threshold_value,median_final_adoption
45.0,0.44,external_exposure_ratio,geslacht,2,0.15000000000000002,8.0
45.0,0.44,external_exposure_ratio,geslacht,3,0.2,8.0
45.0,0.44,external_exposure_ratio,lft,0,0.05,7953.0
45.0,0.44,external_exposure_ratio,lft,1,0.1,7952.0
45.0,0.44,external_exposure_ratio,lft,2,0.15000000000000002,15.5
45.0,0.44,external_exposure_ratio,lft,3,0.2,14.5
45.0,0.44,random,etngrp_geslacht_lft_oplniv,0,0.05,7958.5
45.0,0.44,random,etngrp_geslacht_lft_oplniv,1,0.1,15.5
45.0,0.44,random,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.0
45.0,0.44,random,etngrp_geslacht_lft_oplniv,3,0.2,8.5
45.0,0.44,random,geslacht,0,0.05,8599.0
45.0,0.44,random,geslacht,1,0.1,22.0
45.0,0.44,random,geslacht,2,0.15000000000000002,8.0
45.0,0.44,random,geslacht,3,0.2,8.0
45.0,0.44,random,lft,0,0.05,7952.0
45.0,0.44,random,lft,1,0.1,15.5
45.0,0.44,random,lft,2,0.15000000000000002,9.0
45.0,0.44,random,lft,3,0.2,9.0
45.0,0.44,size,etngrp_geslacht_lft_oplniv,0,0.05,7958.0
45.0,0.44,size,etngrp_geslacht_lft_oplniv,1,0.1,8.0
45.0,0.44,size,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.0
45.0,0.44,size,etngrp_geslacht_lft_oplniv,3,0.2,8.0
45.0,0.44,size,geslacht,0,0.05,8599.0
45.0,0.44,size,geslacht,1,0.1,26.5
45.0,0.44,size,geslacht,2,0.15000000000000002,8.5
45.0,0.44,size,geslacht,3,0.2,8.5
45.0,0.44,size,lft,0,0.05,7952.0
45.0,0.44,size,lft,1,0.1,8.5
45.0,0.44,size,lft,2,0.15000000000000002,8.0
45.0,0.44,size,lft,3,0.2,8.0
34.0,0.99,combined_score,etngrp_geslacht_lft_oplniv,0,0.05,7928.0
34.0,0.99,combined_score,etngrp_geslacht_lft_oplniv,1,0.1,7928.0
34.0,0.99,combined_score,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,12.0
34.0,0.99,combined_score,etngrp_geslacht_lft_oplniv,3,0.2,10.0
34.0,0.99,combined_score,geslacht,0,0.05,8601.0
34.0,0.99,combined_score,geslacht,1,0.1,8.0
34.0,0.99,combined_score,geslacht,2,0.15000000000000002,8.0
34.0,0.99,combined_score,geslacht,3,0.2,8.0
34.0,0.99,combined_score,lft,0,0.05,7919.0
34.0,0.99,combined_score,lft,1,0.1,8.0
34.0,0.99,combined_score,lft,2,0.15000000000000002,8.0
34.0,0.99,combined_score,lft,3,0.2,8.0
34.0,0.99,internal_density,etngrp_geslacht_lft_oplniv,0,0.05,7928.0
34.0,0.99,internal_density,etngrp_geslacht_lft_oplniv,1,0.1,7928.0
34.0,0.99,internal_density,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,12.0
34.0,0.99,internal_density,etngrp_geslacht_lft_oplniv,3,0.2,10.0
34.0,0.99,internal_density,geslacht,0,0.05,8601.0
34.0,0.99,internal_density,geslacht,1,0.1,8.0
34.0,0.99,internal_density,geslacht,2,0.15000000000000002,8.0
34.0,0.99,internal_density,geslacht,3,0.2,8.0
34.0,0.99,internal_density,lft,0,0.05,7919.0
34.0,0.99,internal_density,lft,1,0.1,8.0
34.0,0.99,internal_density,lft,2,0.15000000000000002,8.0
34.0,0.99,internal_density,lft,3,0.2,8.0
34.0,0.99,external_exposure_ratio,etngrp_geslacht_lft_oplniv,0,0.05,7928.5
34.0,0.99,external_exposure_ratio,etngrp_geslacht_lft_oplniv,1,0.1,16.0
34.0,0.99,external_exposure_ratio,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,9.0
34.0,0.99,external_exposure_ratio,etngrp_geslacht_lft_oplniv,3,0.2,9.0
34.0,0.99,external_exposure_ratio,geslacht,0,0.05,8601.0
34.0,0.99,external_exposure_ratio,geslacht,1,0.1,8.0
34.0,0.99,external_exposure_ratio,geslacht,2,0.15000000000000002,8.0
34.0,0.99,external_exposure_ratio,geslacht,3,0.2,8.0
34.0,0.99,external_exposure_ratio,lft,0,0.05,8.0
34.0,0.99,external_exposure_ratio,lft,1,0.1,8.5
34.0,0.99,external_exposure_ratio,lft,2,0.15000000000000002,8.0
34.0,0.99,external_exposure_ratio,lft,3,0.2,8.0
34.0,0.99,random,etngrp_geslacht_lft_oplniv,0,0.05,7929.0
34.0,0.99,random,etngrp_geslacht_lft_oplniv,1,0.1,16.0
34.0,0.99,random,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,9.0
34.0,0.99,random,etngrp_geslacht_lft_oplniv,3,0.2,9.5
34.0,0.99,random,geslacht,0,0.05,8601.0
34.0,0.99,random,geslacht,1,0.1,8.0
34.0,0.99,random,geslacht,2,0.15000000000000002,8.0
34.0,0.99,random,geslacht,3,0.2,8.0
34.0,0.99,random,lft,0,0.05,7920.0
34.0,0.99,random,lft,1,0.1,8.0
34.0,0.99,random,lft,2,0.15000000000000002,8.0
34.0,0.99,random,lft,3,0.2,8.0
34.0,0.99,size,etngrp_geslacht_lft_oplniv,0,0.05,7928.0
34.0,0.99,size,etngrp_geslacht_lft_oplniv,1,0.1,8.0
34.0,0.99,size,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.0
34.0,0.99,size,etngrp_geslacht_lft_oplniv,3,0.2,8.0
34.0,0.99,size,geslacht,0,0.05,8601.0
34.0,0.99,size,geslacht,1,0.1,8.0
34.0,0.99,size,geslacht,2,0.15000000000000002,8.0
34.0,0.99,size,geslacht,3,0.2,8.0
34.0,0.99,size,lft,0,0.05,7919.0
34.0,0.99,size,lft,1,0.1,8.0
34.0,0.99,size,lft,2,0.15000000000000002,8.0
34.0,0.99,size,lft,3,0.2,8.0
23.0,0.22,combined_score,etngrp_geslacht_lft_oplniv,0,0.05,7957.0
23.0,0.22,combined_score,etngrp_geslacht_lft_oplniv,1,0.1,7957.0
23.0,0.22,combined_score,etngrp_geslacht_lft_oplniv,2,0.15000000000000002,8.0
23.0,0.22,combined_score,etngrp_geslacht_lft_oplniv,3,0.2,8.0
23.0,0.22,combined_score,geslacht,0,0.05,8601.0
23.0,0.22,combined_score,geslacht,1,0.1,19.0
23.0,0.22,combined_score,geslacht,2,0.15000000000000002,9.0
23.0,0.22,combined_score,geslacht,3,0.2,9.0
23.0,0.22,combined_score,lft,0,0.05,8005.0
23.0,0.22,combined_score,lft,1,0.1,8.0
